Food and Environmental Hygiene Department,,,,,,,,,,,,
食物環境衛生署,,,,,,,,,,,,
Monthly Dengue Vector Surveillance 2008,,,,,,,,,,,,
二零零八年每月誘蚊產卵器分區指數,,,,,,,,,,,,
"Locations
地區","JAN
一月","FEB
二月","MAR
三月","APR
四月","MAY
五月","JUN
六月","JUL
七月","AUG
八月","SEP
九月","OCT
十月","NOV
十一月","DEC
十二月"
"Mong Kok
旺角",0.0%,0.0%,1.7%,1.8%,5.5%,8.6%,12.1%,14.8%,5.3%,5.3%,1.8%,0.0%
"Lai Chi Kok
荔枝角",0.0%,0.0%,3.6%,3.6%,9.1%,7.3%,18.2%,9.1%,5.5%,1.8%,0.0%,0.0%
"Sham Shui Po East
深水埗東",0.0%,0.0%,0.0%,5.6%,5.7%,9.4%,19.2%,16.7%,7.7%,0.0%,0.0%,0.0%
"Cheung Sha Wan
長沙灣",0.0%,1.8%,0.0%,7.4%,5.6%,9.1%,7.3%,3.6%,3.7%,0.0%,0.0%,0.0%
"Kowloon City North
九龍城北",0.0%,0.0%,0.0%,3.7%,13.2%,12.7%,14.5%,11.5%,10.9%,1.9%,0.0%,0.0%
"Ho Man Tin
何文田",0.0%,0.0%,0.0%,0.0%,0.0%,20.4%,12.7%,18.5%,14.5%,3.8%,0.0%,0.0%
"Wong Tai Sin Central
黃大仙中",0.0%,0.0%,3.2%,1.6%,7.9%,11.1%,15.9%,11.1%,14.5%,11.3%,0.0%,1.6%
"Diamond Hill
鑽石山",0.0%,0.0%,1.9%,0.0%,7.3%,18.5%,25.9%,1.8%,10.9%,1.8%,0.0%,0.0%
"Kwun Tong Central
觀塘中",0.0%,0.0%,9.1%,8.9%,21.4%,21.4%,10.9%,14.3%,5.5%,1.8%,0.0%,0.0%
"Lam Tin
藍田",0.0%,0.0%,2.0%,0.0%,9.8%,5.6%,10.9%,9.4%,9.4%,0.0%,0.0%,0.0%
"Tseung Kwan O
將軍澳",0.0%,0.0%,1.7%,3.3%,11.7%,6.9%,1.7%,1.8%,6.7%,3.3%,0.0%,0.0%
"Ma On Shan
馬鞍山",0.0%,0.0%,1.7%,0.0%,8.6%,17.2%,20.4%,17.9%,7.1%,7.1%,1.8%,0.0%
"Lek Yuen
瀝源",0.0%,0.0%,0.0%,0.0%,5.5%,14.5%,12.7%,23.6%,9.1%,7.3%,0.0%,0.0%
"Tai Wai
大圍",0.0%,0.0%,0.0%,0.0%,9.4%,16.7%,13.0%,18.2%,12.7%,9.1%,0.0%,0.0%
"Tai Po
大埔",0.0%,0.0%,0.0%,3.7%,9.3%,16.4%,18.9%,7.4%,9.1%,7.3%,1.9%,0.0%
"Fanling
粉嶺",0.0%,0.0%,0.0%,1.9%,5.8%,13.5%,3.8%,16.4%,11.1%,3.8%,0.0%,0.0%
"Sheung Shui
上水",0.0%,0.0%,1.8%,0.0%,7.3%,18.2%,22.2%,14.5%,12.7%,5.5%,1.9%,0.0%
"Tin Shui Wai
天水圍",0.0%,1.8%,3.5%,12.5%,11.3%,12.5%,12.7%,11.1%,16.7%,3.5%,3.6%,0.0%
"Yuen Kong
元崗",0.0%,0.0%,8.0%,12.0%,32.0%,12.0%,4.0%,12.0%,4.0%,0.0%,0.0%,0.0%
"Yuen Long Town
元朗市中心",0.0%,0.0%,1.8%,3.6%,9.3%,1.9%,3.7%,5.6%,1.8%,0.0%,0.0%,0.0%
"Tuen Mun (S)
屯門南",0.0%,0.0%,0.0%,0.0%,5.5%,12.7%,11.3%,7.3%,5.5%,1.8%,0.0%,0.0%
"Tuen Mun (N)
屯門北",0.0%,0.0%,1.8%,1.7%,8.5%,11.9%,15.5%,1.7%,15.3%,5.2%,0.0%,0.0%
"Tsuen Wan Town
荃灣市中心",0.0%,0.0%,3.3%,5.0%,10.0%,5.0%,13.3%,10.0%,1.7%,1.7%,0.0%,0.0%
"Ma Wan
馬灣",0.0%,0.0%,0.0%,0.0%,8.0%,4.0%,16.0%,0.0%,0.0%,0.0%,0.0%,0.0%
"Kwai Chung
葵涌",0.0%,0.0%,1.8%,7.5%,14.5%,15.4%,15.7%,14.0%,13.2%,1.9%,5.5%,0.0%
"Lai King
荔景",0.0%,0.0%,0.0%,1.8%,7.3%,3.8%,1.9%,1.8%,5.6%,3.8%,0.0%,0.0%
"Tsing Yi
青衣",0.0%,0.0%,3.6%,5.3%,12.5%,7.0%,19.3%,12.3%,3.5%,5.3%,0.0%,0.0%
"Monthly Ovitrap Index (MOI)
每月平均誘蚊產卵器指數",0.0%,0.2%,1.5%,3.1%,9.5%,11.0%,13.0%,10.2%,8.0%,5.4%,0.6%,0.1%

Food and Environmental Hygiene Department,,,,,,,,,,,,
食物環境衛生署,,,,,,,,,,,,
Monthly Dengue Vector Surveillance 2011,,,,,,,,,,,,
二零一一年每月誘蚊產卵器分區指數,,,,,,,,,,,,
"Locations
地區","JAN
一月","FEB
二月","MAR
三月","APR
四月","MAY
五月","JUN
六月","JUL
七月","AUG
八月","SEP
九月","OCT
十月","NOV
十一月","DEC
十二月"
"Chai Wan West
柴灣西",0.0%,0.0%,0.0%,0.0%,10.5%,16.4%,12.5%,1.9%,0.0%,5.4%,3.6%,0.0%
"Shau Kei Wan & Sai Wan Ho
筲箕灣及西灣河",0.0%,0.0%,0.0%,1.7%,5.1%,8.5%,17.9%,15.0%,3.4%,3.4%,1.7%,0.0%
"North Point
北角",0.0%,0.0%,0.0%,0.0%,3.8%,9.4%,5.6%,5.6%,5.5%,5.7%,0.0%,0.0%
"Wan Chai North
灣仔北",0.0%,0.0%,0.0%,0.0%,7.8%,2.0%,1.9%,7.8%,0.0%,0.0%,2.0%,0.0%
"Happy Valley
跑馬地",0.0%,0.0%,0.0%,0.0%,5.3%,12.5%,14.0%,14.0%,8.8%,3.5%,8.8%,3.6%
"Central, Sheung Wan and Sai Ying Pun
中環, 上環及西營盤",0.0%,0.0%,0.0%,0.0%,0.0%,9.4%,20.0%,5.6%,1.9%,0.0%,0.0%,0.0%
"Sai Wan
西環",0.0%,0.0%,0.0%,0.0%,7.7%,13.5%,15.7%,13.7%,5.8%,0.0%,0.0%,0.0%
"Aberdeen and Ap Lei Chau
香港仔及鴨脷洲",0.0%,0.0%,0.0%,0.0%,0.0%,9.1%,18.5%,1.8%,7.4%,0.0%,0.0%,0.0%
"Pokfulam
薄扶林",0.0%,0.0%,0.0%,0.0%,5.5%,10.9%,25.5%,11.3%,13.0%,5.5%,0.0%,0.0%
"Deep Water Bay & Repulse Bay
深水灣及淺水灣",0.0%,0.0%,0.0%,0.0%,5.6%,13.0%,9.1%,18.2%,3.6%,1.8%,0.0%,0.0%
"Cheung Chau
長洲",0.0%,0.0%,0.0%,0.0%,5.6%,13.9%,16.7%,2.9%,2.9%,2.9%,2.9%,0.0%
"Tung Chung
東涌",0.0%,0.0%,0.0%,0.0%,19.4%,16.7%,22.2%,11.1%,2.8%,0.0%,0.0%,0.0%
"Tsim Sha Tsui
尖沙咀",0.0%,0.0%,0.0%,1.7%,3.5%,15.5%,22.8%,16.1%,8.8%,7.0%,0.0%,0.0%
"Mong Kok
旺角",0.0%,0.0%,0.0%,0.0%,3.5%,5.3%,8.8%,6.9%,8.6%,1.9%,3.4%,0.0%
"Lai Chi Kok
荔枝角",0.0%,0.0%,0.0%,0.0%,10.9%,10.9%,29.1%,3.6%,5.5%,7.5%,3.6%,3.6%
"Sham Shui Po East
深水埗東",0.0%,0.0%,0.0%,7.4%,27.8%,14.8%,14.8%,5.9%,0.0%,1.9%,1.9%,0.0%
"Cheung Sha Wan
長沙灣",0.0%,1.8%,0.0%,1.8%,12.7%,9.1%,7.5%,5.8%,0.0%,0.0%,0.0%,0.0%
"Kowloon City North
九龍城北",0.0%,0.0%,0.0%,0.0%,1.8%,7.3%,9.1%,7.4%,5.5%,1.8%,0.0%,0.0%
"Hung Hom
紅磡",0.0%,0.0%,0.0%,0.0%,5.8%,6.0%,7.7%,9.1%,7.8%,3.7%,1.9%,0.0%
"Ho Man Tin
何文田",0.0%,0.0%,0.0%,1.8%,3.6%,3.8%,7.4%,5.6%,7.3%,1.8%,1.9%,0.0%
"Wong Tai Sin Central
黃大仙中",0.0%,0.0%,0.0%,1.6%,7.9%,9.7%,3.2%,6.3%,11.1%,0.0%,0.0%,0.0%
"Diamond Hill
鑽石山",0.0%,0.0%,0.0%,0.0%,1.8%,3.6%,5.5%,5.8%,7.4%,5.7%,1.9%,0.0%
"Kwun Tong Central
觀塘中",0.0%,0.0%,0.0%,0.0%,27.8%,21.4%,28.6%,3.7%,3.8%,3.6%,0.0%,0.0%
"Lam Tin
藍田",0.0%,0.0%,0.0%,0.0%,14.5%,12.7%,9.1%,10.9%,7.3%,1.8%,0.0%,0.0%
"Tseung Kwan O
將軍澳",0.0%,0.0%,0.0%,0.0%,25.0%,21.7%,23.3%,23.3%,15.0%,0.0%,0.0%,0.0%
"Sai Kung Town
西貢市",0.0%,0.0%,0.0%,0.0%,28.6%,16.0%,20.0%,6.0%,0.0%,0.0%,0.0%,0.0%
"Ma On Shan
馬鞍山",0.0%,0.0%,0.0%,0.0%,8.6%,24.1%,12.1%,10.3%,5.2%,3.5%,3.4%,0.0%
"Lek Yuen
瀝源",0.0%,0.0%,0.0%,0.0%,3.6%,18.2%,18.2%,12.7%,12.7%,1.9%,5.6%,0.0%
"Tai Wai
大圍",0.0%,0.0%,0.0%,0.0%,3.6%,14.3%,10.7%,10.7%,5.5%,1.8%,1.8%,0.0%
"Tai Po
大埔",0.0%,0.0%,0.0%,1.8%,3.7%,14.5%,9.4%,13.0%,5.7%,7.5%,1.9%,0.0%
"Fanling
粉嶺",0.0%,0.0%,0.0%,0.0%,7.4%,9.3%,10.9%,10.9%,10.9%,1.8%,1.8%,0.0%
"Sheung Shui
上水",0.0%,0.0%,0.0%,0.0%,15.4%,14.5%,9.1%,11.1%,5.6%,7.3%,0.0%,0.0%
"Tin Shui Wai
天水圍",0.0%,0.0%,0.0%,0.0%,19.3%,10.7%,23.1%,5.5%,1.8%,7.1%,5.3%,1.8%
"Yuen Kong
元崗",0.0%,0.0%,0.0%,0.0%,16.0%,12.0%,12.0%,0.0%,0.0%,0.0%,0.0%,0.0%
"Yuen Long Town
元朗市中心",0.0%,0.0%,0.0%,0.0%,5.5%,9.3%,14.8%,3.7%,0.0%,0.0%,0.0%,0.0%
"Tuen Mun (S)
屯門南",0.0%,0.0%,0.0%,0.0%,7.8%,7.7%,1.9%,7.5%,15.4%,5.7%,1.9%,0.0%
"Tuen Mun (N)
屯門北",0.0%,0.0%,0.0%,0.0%,5.1%,8.5%,10.2%,16.9%,5.2%,1.7%,0.0%,3.4%
"So Kwun Wat
掃管笏",0.0%,0.0%,0.0%,0.0%,25.9%,20.0%,18.5%,9.3%,1.9%,3.6%,0.0%,0.0%
"Tsuen Wan Town
荃灣市中心",0.0%,0.0%,0.0%,0.0%,5.0%,10.0%,16.9%,5.0%,6.7%,8.3%,1.7%,0.0%
"Ma Wan
馬灣",0.0%,0.0%,0.0%,0.0%,4.0%,8.0%,8.3%,0.0%,8.0%,0.0%,0.0%,0.0%
"Sheung Kwai Chung
上葵涌",0.0%,0.0%,0.0%,0.0%,29.1%,18.2%,18.5%,11.3%,11.1%,0.0%,1.9%,0.0%
"Kwai Chung
葵涌",0.0%,0.0%,0.0%,0.0%,6.0%,9.3%,12.7%,5.6%,9.6%,1.9%,0.0%,0.0%
"Lai King
荔景",0.0%,0.0%,0.0%,0.0%,3.7%,10.9%,18.9%,7.3%,7.4%,3.8%,0.0%,0.0%
"Tsing Yi
青衣",0.0%,0.0%,0.0%,0.0%,8.9%,15.8%,26.3%,7.0%,3.6%,1.8%,0.0%,0.0%
"Monthly Ovitrap Index (MOI)
每月平均誘蚊產卵器指數",0.0%,0.1%,0.0%,0.4%,9.7%,12.1%,14.3%,8.8%,6.1%,2.9%,1.4%,0.3%

Food and Environmental Hygiene Department,,,,,,,,,,,,
食物環境衛生署,,,,,,,,,,,,
Monthly Dengue Vector Surveillance 2012,,,,,,,,,,,,
二零一二年每月誘蚊產卵器分區指數,,,,,,,,,,,,
"Locations
地區","JAN
一月","FEB
二月","MAR
三月","APR
四月","MAY
五月","JUN
六月","JUL
七月","AUG
八月","SEP
九月","OCT
十月","NOV
十一月","DEC
十二月"
"Chai Wan West
柴灣西",0.0%,0.0%,0.0%,1.8%,10.7%,17.5%,8.8%,3.5%,5.3%,1.8%,0.0%,0.0%
"Shau Kei Wan & Sai Wan Ho
筲箕灣及西灣河",0.0%,0.0%,0.0%,0.0%,11.9%,21.2%,16.7%,6.8%,1.8%,0.0%,0.0%,0.0%
"North Point
北角",0.0%,0.0%,0.0%,0.0%,3.7%,5.5%,1.8%,3.7%,0.0%,0.0%,0.0%,0.0%
"Wan Chai North
灣仔北",0.0%,0.0%,0.0%,0.0%,1.9%,3.8%,3.8%,9.8%,5.9%,1.9%,1.9%,0.0%
"Happy Valley
跑馬地",0.0%,0.0%,0.0%,0.0%,3.6%,8.8%,7.0%,1.8%,0.0%,1.8%,0.0%,0.0%
